 ,Label,Area1,Mean1,Min1,Max1,Median1,Area2,Mean2,Min2,Max2,Median2,Area3,Mean3,Min3,Max3,Median3,Area4,Mean4,Min4,Max4,Median4,Area5,Mean5,Min5,Max5,Median5,Area6,Mean6,Min6,Max6,Median6,Area7,Mean7,Min7,Max7,Median7,Area8,Mean8,Min8,Max8,Median8
449,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,20.086,8,36,20,0.433,20.404,9,31,20,0.516,35.339,15,73,35,0.478,51.791,6,179,30,0.466,25.080,7,79,20,0.433,16.423,6,30,16,0.287,9.841,3,26,10,0.478,15.809,7,23,16
450,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,19.386,10,32,19,0.433,20.529,7,33,20,0.516,34.153,10,69,32,0.478,56.539,7,203,32,0.466,26.616,8,68,22,0.433,15.394,6,26,15,0.287,9.188,2,22,9,0.478,15.800,7,28,16
451,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,18.829,10,34,18,0.433,21.827,7,37,21,0.516,35.194,16,74,32,0.478,57.826,8,200,41,0.466,26.554,9,73,22,0.433,15.817,7,29,15,0.287,8.957,3,23,9,0.478,15.461,7,23,16
452,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,18.329,9,30,17,0.433,21.058,12,35,21,0.516,34.960,13,73,32,0.478,56.052,6,195,42,0.466,27.929,8,70,23,0.433,15.288,8,26,15,0.287,10.652,2,24,10,0.478,15.730,8,28,15
453,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,17.057,8,32,17,0.433,20.452,10,31,20,0.516,35.258,10,71,33,0.478,58.243,7,198,38,0.466,27.607,7,74,23,0.433,15.452,5,26,15,0.287,9.478,1,26,9,0.478,15.678,5,24,16
454,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,18.271,11,32,16,0.433,20.808,11,33,21,0.516,36.387,13,68,36,0.478,61.113,10,213,43,0.466,30.616,8,91,25,0.433,15.077,7,29,14,0.287,8.261,1,17,9,0.478,15.478,7,22,16
455,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,17.100,7,29,17,0.433,19.971,10,34,20,0.516,35.637,15,70,36,0.478,61.878,8,203,44,0.466,30.295,7,77,25,0.433,15.635,8,27,15,0.287,8.507,2,15,8,0.478,15.870,8,24,16
456,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,19.400,10,36,19,0.433,20.279,9,34,20,0.516,34.524,14,66,34,0.478,63.261,6,223,44,0.466,30.786,7,97,24,0.433,15.365,7,31,15,0.287,7.841,0,15,8,0.478,15.800,6,25,15
457,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,17.729,7,31,17,0.433,20.712,10,30,21,0.516,33.540,12,66,32,0.478,61.774,9,197,46,0.466,32.438,7,99,26,0.433,14.962,5,27,15,0.287,7.754,2,15,8,0.478,16.122,5,24,16
458,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,18.429,10,36,18,0.433,20.163,10,32,20,0.516,34.702,14,63,34,0.478,56.930,9,191,41,0.466,34.134,6,106,28,0.433,15.298,6,30,15,0.287,7.391,2,13,8,0.478,16.530,8,26,16
459,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,18.286,5,33,17,0.433,19.971,11,34,19,0.516,34.411,11,64,34,0.478,58.530,9,189,41,0.466,34.295,8,104,28,0.433,15.538,6,28,15,0.287,8.754,3,16,9,0.478,15.904,7,28,16
460,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,18.114,8,32,18,0.433,20.587,6,33,21,0.516,35.032,14,67,34,0.478,60.157,10,193,44,0.466,32.500,7,91,26,0.433,16.077,7,27,16,0.287,8.406,2,17,9,0.478,16.217,8,25,16
461,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,18.700,10,28,19,0.433,21.106,10,34,21,0.516,34.758,13,64,33,0.478,62.930,10,199,42,0.466,34.562,9,105,26,0.433,16.317,7,31,17,0.287,7.493,2,15,7,0.478,15.539,7,26,15
462,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,18.286,9,30,18,0.433,19.510,7,31,19,0.516,34.661,15,63,34,0.478,60.452,9,191,41,0.466,34.580,10,105,26,0.433,15.827,6,28,15,0.287,8.159,1,17,8,0.478,16.078,7,25,16
463,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,18.471,9,34,18,0.433,19.962,10,32,20,0.516,35.605,14,66,33,0.478,63.357,7,213,44,0.466,36.116,7,115,28,0.433,15.192,5,27,15,0.287,8.725,1,16,9,0.478,16.435,8,26,16
464,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,19.857,11,37,19,0.433,19.538,8,33,19,0.516,34.782,14,69,31,0.478,63.435,11,214,39,0.466,37.804,10,111,29,0.433,15.769,5,31,16,0.287,8.652,3,17,8,0.478,16.339,9,24,16
465,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,18.343,9,33,17,0.433,20.192,10,33,20,0.516,35.790,13,67,33,0.478,60.452,9,210,42,0.466,37.875,11,120,29,0.433,16.942,8,29,16,0.287,8.565,1,15,8,0.478,16.739,8,25,17
466,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,19.200,8,32,19,0.433,21.115,9,39,20,0.516,34.629,14,67,32,0.478,62.078,8,199,44,0.466,38.018,9,115,31,0.433,16.635,7,27,17,0.287,7.725,3,15,7,0.478,16.478,8,27,16
467,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,19.557,9,35,18,0.433,20.490,9,32,21,0.516,35.960,13,73,34,0.478,57.878,8,207,41,0.466,39.920,10,124,30,0.433,16.846,6,31,16,0.287,8.536,2,16,9,0.478,16.774,9,27,16
468,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,19.200,8,38,19,0.433,21.529,11,33,21,0.516,35.379,15,67,33,0.478,60.757,8,207,45,0.466,39.312,6,119,28,0.433,15.760,8,28,15,0.287,7.638,3,16,7,0.478,16.322,10,29,16
469,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,18.257,8,30,17,0.433,20.635,6,34,20,0.516,35.315,15,66,32,0.478,58.835,11,199,41,0.466,40.312,9,130,32,0.433,15.067,8,27,14,0.287,7.797,0,14,8,0.478,16.878,7,27,17
470,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,18.229,6,29,18,0.433,20.288,12,37,20,0.516,33.524,14,61,31,0.478,57.843,12,190,41,0.466,40.982,9,133,29,0.433,15.827,0,29,15,0.287,7.290,2,15,7,0.478,16.678,8,26,17
471,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,18.300,9,32,18,0.433,19.721,10,34,20,0.516,32.613,14,67,30,0.478,67.791,12,233,46,0.466,40.339,8,120,29,0.433,16.019,7,27,15,0.287,8.101,0,16,8,0.478,15.870,8,26,16
472,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,18.957,7,32,19,0.433,21.163,12,34,21,0.516,32.540,13,64,30,0.478,64.087,9,202,43,0.466,41.446,10,139,32,0.433,16.183,8,24,16,0.287,8.290,0,15,8,0.478,16.139,7,30,16
473,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,18.843,8,30,19,0.433,21.048,10,31,21,0.516,32.855,6,68,30,0.478,62.409,11,194,44,0.466,43.009,6,152,29,0.433,15.779,5,29,16,0.287,7.565,3,14,7,0.478,17.235,10,28,17
474,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,20.100,10,37,20,0.433,20.029,13,30,20,0.516,33.234,5,68,31,0.478,63.504,14,200,41,0.466,42.384,9,155,30,0.433,14.712,7,26,15,0.287,8.130,1,15,8,0.478,16.835,9,25,17
475,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,19.771,10,35,20,0.433,21.183,11,37,21,0.516,31.952,11,61,29,0.478,62.530,12,204,43,0.466,40.634,6,143,28,0.433,15.356,5,26,15,0.287,8.377,0,19,8,0.478,16.530,8,25,17
476,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,20.557,9,33,21,0.433,21.298,14,34,21,0.516,33.040,14,60,32,0.478,64.609,14,213,44,0.466,39.893,6,141,28,0.433,15.990,5,26,16,0.287,7.725,2,14,8,0.478,16.835,7,26,17
477,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,19.229,7,38,19,0.433,20.808,9,34,21,0.516,33.669,13,68,31,0.478,61.461,11,195,41,0.466,47.643,10,160,35,0.433,15.260,7,29,15,0.287,8.203,3,16,8,0.478,16.539,4,25,16
478,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,19.314,11,33,19,0.433,21.115,12,30,21,0.516,32.621,14,63,31,0.478,117.861,24,255,86,0.466,48.241,5,170,31,0.433,16.269,5,26,16,0.287,8.232,2,14,8,0.478,16.774,7,31,16
479,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,18.500,8,30,18,0.433,20.279,10,30,20,0.516,32.944,10,61,31,0.478,121.757,19,255,91,0.466,49.259,11,166,34,0.433,15.413,6,25,15,0.287,8.174,0,16,8,0.478,15.904,7,26,16
480,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,19.657,7,34,20,0.433,20.846,12,35,21,0.516,31.935,13,61,31,0.478,125.243,41,255,101,0.466,47.429,10,151,33,0.433,16.019,8,26,16,0.287,10.000,4,20,10,0.478,16.948,10,26,17
